"target";"variant";"beat";"question";"content"
"mc1";"A";"0";"Is Phillip free this weekend?";"Phillip is free this weekend"
"mc1";"A";"1";"Is Phillip free this weekend?";"Phillip is free this weekend"
"mc2";"A";"0";"Did Mark get his driving license?";"Mark got his driving license"
"mc2";"A";"1";"Did Mark get his driving license?";"Mark got his driving license"
"mc3";"A";"0";"Did Lily paint the mug herself?";"Lily used to do ballet"
"mc3";"A";"1";"Did Lily paint the mug herself?";"Lily used to do ballet"
"mc4";"A";"0";"Was Jim the youngest in the class?";"Jim was the youngest in the class"
"mc4";"A";"1";"Was Jim the youngest in the class?";"Jim was the youngest in the class"
"establish";"A";"0";"Did Harley establish that Phillip is free this weekend?";"Phillip is free this weekend"
"establish";"A";"1";"Did Harley establish that Phillip is free this weekend?";"Phillip is free this weekend"
"establish";"B";"0";"Did Amber establish that Douglas brought enough food?";"Douglas brought enough food"
"establish";"B";"1";"Did Amber establish that Douglas brought enough food?";"Douglas brought enough food"
"stop";"A";"0";"Did Emily stop coming to the meetings?";"Emily used to come to the meetings"
"stop";"A";"1";"Did Emily stop coming to the meetings?";"Emily used to come to the meetings"
"stop";"B";"0";"Did David stop talking to Jennifer?";"David was talking to Jennifer"
"stop";"B";"1";"Did David stop talking to Jennifer?";"David was talking to Jennifer"
"discover";"A";"0";"Did Tiffany discover that Marco stole a book from the library?";"Marco stole a book from the library"
"discover";"A";"1";"Did Tiffany discover that Marco stole a book from the library?";"Marco stole a book from the library"
"discover";"B";"0";"Did Christian discover that the pie is not vegan?";"the pie is not vegan"
"discover";"B";"1";"Did Christian discover that the pie is not vegan?";"the pie is not vegan"
"know";"A";"0";"Does Linda know that Olivia owns a farm in Utah?";"Olivia owns a farm in Utah"
"know";"A";"1";"Does Linda know that Olivia owns a farm in Utah?";"Olivia owns a farm in Utah"
"know";"B";"0";"Does Lizzy know that Martin moved away?";"Martin moved away"
"know";"B";"1";"Does Lizzy know that Martin moved away?";"Martin moved away"
"nomappos";"A";"0";"Is Jake, a student, eligible for the discount?";"Jake is a student"
"nomappos";"A";"1";"Is Jake, a student, eligible for the discount?";"Jake is a student"
"nomappos";"B";"0";"Is Elsie, a dancer, going to have issues with her joints?";"Elsie is a dancer"
"nomappos";"B";"1";"Is Elsie, a dancer, going to have issues with her joints?";"Elsie is a dancer"
"annoyed";"A";"0";"Is James annoyed that Mark got his driving license?";"Mark got his driving license"
"annoyed";"A";"1";"Is James annoyed that Mark got his driving license?";"Mark got his driving license"
"annoyed";"B";"0";"Is Glen annoyed that Casey found the book?";"Casey found the book"
"annoyed";"B";"1";"Is Glen annoyed that Casey found the book?";"Casey found the book"
