submission_id,age,beat,comments,experiment_duration,experiment_end_time,experiment_start_time,gender,languages,response,responseTime,target,variant
34,23,1,,220380,1745145439570,1745145219190,female,German,1,12527,training,A
34,23,1,,220380,1745145439570,1745145219190,female,German,100,19594,training,B
34,23,0,,220380,1745145439570,1745145219190,female,German,18,14919,annoyed,B
34,23,0,,220380,1745145439570,1745145219190,female,German,78,15019,nomappos,A
34,23,1,,220380,1745145439570,1745145219190,female,German,24,14013,know,A
34,23,0,,220380,1745145439570,1745145219190,female,German,100,9096,mc,B
34,23,0,,220380,1745145439570,1745145219190,female,German,17,14834,establish,B
34,23,1,,220380,1745145439570,1745145219190,female,German,0,11851,annoyed,A
34,23,1,,220380,1745145439570,1745145219190,female,German,81,10404,nomappos,B
34,23,1,,220380,1745145439570,1745145219190,female,German,24,12602,stop,A
34,23,0,,220380,1745145439570,1745145219190,female,German,100,6999,mc,A
34,23,1,,220380,1745145439570,1745145219190,female,German,0,13793,establish,A
34,23,0,,220380,1745145439570,1745145219190,female,German,13,9391,know,B
34,23,1,,220380,1745145439570,1745145219190,female,German,100,7049,mc,C
34,23,0,,220380,1745145439570,1745145219190,female,German,12,7946,discover,A
34,23,1,,220380,1745145439570,1745145219190,female,German,15,8757,discover,B
34,23,0,,220380,1745145439570,1745145219190,female,German,30,8196,stop,B
34,23,0,,220380,1745145439570,1745145219190,female,German,100,5235,mc,D
18,22,1,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),0,226042,training,A
18,22,1,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),0,79099,training,B
18,22,0,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),0,15417,know,B
18,22,1,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),100,14567,mc,C
18,22,1,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),0,135001,establish,B
18,22,0,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),64,34649,stop,B
18,22,0,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),100,13186,mc,B
18,22,1,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),0,10213,annoyed,A
18,22,0,"there was a video that mentioned a James but the question underneath it asked about a Jake (or the other way around), not sure if that was intentional",773292,1744820144874,1744819371582,female,German (Korean),100,14033,mc,D
