"target";"variant";"question";"content"
"mc1";"A";"Is Phillip free this weekend?";"Phillip is free this weekend"
"mc2";"A";"Did Mark get his driving license?";"Mark got his driving license"
"mc3";"A";"Did Lily paint the mug herself?";"Lily paint the mug herself"
"mc4";"A";"Was Jim the youngest in the class?";"Jim was the youngest in the class"
"establish";"A";"Did Harley establish that Phillip is free this weekend?";"Phillip is free this weekend"
"establish";"B";"Did Amber establish that Douglas brought enough food?";"Douglas brought enough food"
"stop";"A";"Did Emily stop coming to the meetings?";"Emily used to come to the meetings"
"stop";"B";"Did David stop talking to Jennifer?";"David was talking to Jennifer"
"discover";"A";"Did Tiffany discover that Marco stole a book from the library?";"Marco stole a book from the library"
"discover";"B";"Did Christian discover that the pie is not vegan?";"the pie is not vegan"
"know";"A";"Does Linda know that Olivia owns a farm in Utah?";"Olivia owns a farm in Utah"
"know";"B";"Does Lizzy know that Martin moved away?";"Martin moved away"
"nomappos";"A";"Is Jake, a student, eligible for the discount?";"Jake is a student"
"nomappos";"B";"Is Elsie, a dancer, going to have issues with her joints?";"Elsie is a dancer"
"annoyed";"A";"Is James annoyed that Mark got his driving license?";"Mark got his driving license"
"annoyed";"B";"Is Glen annoyed that Casey found the book?";"Casey found the book"
